City,Month,Year,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Abu,January,1901-2000,100,19.3,8,5.3,24.5925,72.7083
Agartala (A),January,1953-2000,43,25.6,10,27.5,23.8338,91.2824
Agra,January,1901-2000,100,22.3,7.7,13.2,27.1800,78.0200
Ahmedabad,January,1901-2000,100,28.7,13.1,2.1,23.0145,72.5918
Aijal/Aizwal,January,1937-1992,34,20.4,11.4,13.4,23.7272,92.7178
Ajmer,January,1901-2000,100,22.9,7.6,7.3,26.4590,74.6364
Akola (A),January,1961-2000,40,29.9,13.1,10.4,20.7000,77.0000
Allahabad,January,1901-2000,100,23.5,8.9,17.9,26.0138,81.3126
Ambikapur,January,1951-2000,49,23.5,8.7,22.6,23.1162,83.1959
Amini Divi,January,1901-2000,97,31.2,23.6,15.9,11.1000,72.7500
Amritsar (Rajasansi),January,1948-2000,53,19.2,3.9,28.3,31.6400,74.8600
Anantpur,January,1946-2000,55,30.4,17.4,0.9,14.6800,77.6000
Androth,January,1965-1979,11,30.3,24.4,10.5,10.8126,73.6801
Aurangabad,January,1952-2000,49,29,11,11.3,19.8993,75.3195
Balasore,January,1901-2000,97,27,13.9,17,21.4916,86.9150
Bangalore,January,1901-2000,100,27.4,15,4.9,12.9667,77.5667
Bareilly,January,1901-2000,97,21.6,8.3,22.9,28.3518,79.4096
Baroda (A),January,1952-2000,48,29.5,12.5,2.2,22.3112,73.1820
Belgaum Samra,January,1952-2000,49,29.2,14.6,1.1,15.8528,74.5111
Bhagalpur,January,1901-1999,56,24.2,11.6,18.2,25.2413,86.9901
Bhatinda,January,1959-1984,24,20.5,4.7,11.4,30.2300,74.9519
Bhopal (Bairagarh),January,1949-2000,52,25.3,10.5,13.2,23.1395,77.4086
Bhubaneshwar (A),January,1952-2000,49,28.5,15.5,13.1,20.2700,85.8400
Bhuj (Rudramata),January,1953-2000,47,27.1,8.8,2,23.2500,69.6700
Bikaner,January,1901-2000,97,22.6,6.5,5.7,28.0108,73.3210
Cannanore,January,1978-2000,22,32.7,21.5,4.8,11.8608,75.4140
Chandigarh,January,1954-1977,24,20.4,6.1,46.6,30.7333,76.7794
Chennai (Minambakkam),January,1901-2000,100,28.8,20.4,35.3,13.0670,80.1693
Cherrapunji,January,1902-2000,99,15.7,7.3,19.2,25.3000,91.7000
Coimbatore (Pilamedu),January,1948-2000,53,30.2,18.1,6.6,11.0183,76.9725
Cooch Behar,January,1901-2000,61,23.7,9.6,8.3,26.3242,89.4510
Darjeeling,January,1901-2000,97,9.4,1.8,19.7,27.0500,88.2667
Dehra Dun,January,1901-2000,84,19.3,6,55,30.1812,78.1220
Dharmsala,January,1951-1998,48,14.8,5.9,119.7,32.2252,76.1844
Dibrugarh/Mohanbari,January,1952-2000,49,22.7,9.1,32,27.4800,95.0000
Gadag,January,1932-2000,69,30.1,16.5,2.2,15.4167,75.6167
Gangtok,January,1966-2000,35,12.6,4.2,31.9,27.3305,88.6136
Gaya,January,1901-1999,98,23.8,10,20.1,24.8216,85.0354
Gopalpur,January,1901-2000,98,27.2,16.9,11,23.1800,88.5800
Gorakhpur,January,1901-2000,96,22.9,9.2,14.2,26.7588,83.3697
Gulbarga,January,1901-2000,98,30.7,16,5,17.3333,76.8333
