Station Name,Yearly Average Min Temp,Yearly Average Max Temp,Average Rainfall,Range of Min Temp,Range of Max Temp
Abu,15.283333333333333,24.891666666666666,129.51666666666668,8.0 - 21.0,19.3 - 31.5
Agartala (A),19.658333333333335,30.516666666666666,178.83333333333334,10.0 - 24.8,25.6 - 33.7
Agra,18.916666666666668,32.46666666666667,60.4,7.7 - 28.9,22.3 - 41.7
Ahmedabad,21.066666666666666,34.40833333333333,65.35833333333333,13.1 - 27.2,28.7 - 41.4
Aijal/Aizwal,16.416666666666668,24.258333333333336,180.11666666666667,11.4 - 19.2,20.4 - 26.8
Ajmer,18.633333333333333,31.616666666666664,44.083333333333336,7.6 - 27.5,22.9 - 39.7
Akola (A),20.158333333333335,34.31666666666667,66.85833333333333,12.4 - 27.3,29.5 - 42.5
Allahabad,19.583333333333332,32.55,80.23333333333333,8.9 - 28.5,23.5 - 41.8
Ambikapur,17.741666666666667,30.21666666666667,118.78333333333332,8.5 - 24.8,23.5 - 39.4
Amini Divi,25.175,31.15833333333333,124.34166666666665,23.6 - 27.1,29.6 - 33.3
Amritsar (Rajasansi),15.466666666666667,30.424999999999997,59.85833333333333,3.9 - 25.6,19.2 - 39.8
Anantpur,22.316666666666666,33.68333333333333,46.625,17.4 - 26.2,29.1 - 38.9
Androth,24.916666666666668,30.95,155.85833333333332,24.0 - 26.4,29.9 - 33.1
Aurangabad,18.008333333333333,32.416666666666664,61.61666666666667,10.7 - 23.9,28.4 - 39.5
Balasore,21.650000000000002,31.566666666666666,134.46666666666667,13.7 - 26.2,26.9 - 36.1
Bangalore,18.491666666666667,29.25,77.58333333333333,15.0 - 21.3,26.2 - 33.9
Bareilly,18.666666666666668,31.208333333333332,86.64999999999999,8.3 - 27.0,21.6 - 39.9
Baroda (A),20.75,34.18333333333333,67.88333333333334,12.5 - 27.0,29.5 - 40.1
Belgaum Samra,18.525,29.95,84.59166666666665,14.6 - 21.0,25.7 - 35.8
Bhagalpur,20.825,31.71666666666667,93.375,11.6 - 26.3,24.2 - 37.6
Bhatinda,16.533333333333335,31.775000000000002,35.7,4.7 - 26.8,20.5 - 41.4
Bhopal (Bairagarh),18.650000000000002,31.691666666666666,93.59166666666668,10.5 - 25.7,25.3 - 40.7
Bhubaneshwar (A),22.183333333333334,32.56666666666667,129.525,15.2 - 26.5,28.3 - 37.5
Bhuj (Rudramata),19.483333333333334,33.9,31.141666666666666,8.8 - 27.1,27.1 - 39.6
Bikaner,19.175,33.666666666666664,25.841666666666665,6.5 - 29.3,22.6 - 41.8
Cannanore,23.375,31.65833333333333,280.4916666666666,21.5 - 25.6,28.9 - 34.1
Chandigarh,16.55,30.375,88.60000000000001,6.1 - 25.4,20.4 - 38.6
Chennai (Minambakkam),24.175,32.88333333333333,109.325,20.4 - 27.6,28.4 - 37.4
Cherrapunji,13.966666666666667,20.641666666666666,921.0500000000001,7.3 - 18.2,15.7 - 23.0
Coimbatore (Pilamedu),21.158333333333335,32.175000000000004,53.90833333333333,18.1 - 23.3,29.1 - 36.2
Cooch Behar,18.791666666666668,29.266666666666666,290.06666666666666,9.6 - 25.1,23.7 - 31.7
Darjeeling,8.933333333333334,15.983333333333334,248.48333333333335,1.8 - 14.3,9.4 - 19.6
Dehra Dun,15.424999999999999,27.825,184.07500000000002,6.0 - 23.0,19.3 - 35.6
Dharmsala,14.541666666666666,23.59166666666667,255.29999999999998,5.9 - 21.6,14.8 - 31.4
Dibrugarh/Mohanbari,18.283333333333335,27.933333333333334,221.525,9.1 - 24.8,22.7 - 31.6
Gadag,20.0,31.650000000000002,54.800000000000004,16.3 - 22.4,28.5 - 37.3
Gangtok,11.225,19.099999999999998,294.94166666666666,4.2 - 16.6,12.6 - 22.4
Gaya,20.141666666666666,32.13333333333333,94.19166666666666,10.0 - 27.6,23.8 - 40.8
Gopalpur,22.925,30.40833333333333,97.65833333333335,16.4 - 26.8,27.2 - 32.4
Gorakhpur,19.341666666666665,31.458333333333332,103.24166666666666,9.2 - 26.3,22.9 - 38.7
Gulbarga,20.958333333333332,33.68333333333333,63.291666666666664,15.2 - 26.0,29.7 - 40.3
Guwahati (Bhorjar),19.266666666666666,29.3,143.42499999999998,10.2 - 25.5,23.6 - 32.1
Gwalior,18.516666666666666,32.550000000000004,70.16666666666667,7.0 - 29.0,22.8 - 42.0
Hassan,17.5,28.391666666666666,71.06666666666668,14.1 - 19.7,24.9 - 33.3
Hissar,17.733333333333334,32.583333333333336,40.891666666666666,5.8 - 27.8,21.3 - 41.2
